id	source_rel	curated_rel	bytes	lines	sha1	has_entry	has_section
1	amiga_workspace/corpus/raw/Amiga-Assembler/01-binary-operations.asm	amiga_workspace/corpus/curated/Amiga-Assembler/01-binary-operations.asm	205	28	dbad51262fef4d687d84cbdfea6a39e4ef477ed6	1	0
2	amiga_workspace/corpus/raw/Amiga-Assembler/02-status-register-carry-flag.asm	amiga_workspace/corpus/curated/Amiga-Assembler/02-status-register-carry-flag.asm	63	7	19432d1446fcae99394913b5cf6be4b2e2aa0b65	1	0
3	amiga_workspace/corpus/raw/Amiga-Assembler/03-status-register-negative-zero-overflow-flags.asm	amiga_workspace/corpus/curated/Amiga-Assembler/03-status-register-negative-zero-overflow-flags.asm	159	15	e3929e183b8f06d543f83bdab4a638e16c83e2ba	1	0
4	amiga_workspace/corpus/raw/Amiga-Assembler/04-sub-routines.asm	amiga_workspace/corpus/curated/Amiga-Assembler/04-sub-routines.asm	190	16	b1c5dfba29a77d9b4c5c1770fe701c41eec350d2	1	0
5	amiga_workspace/corpus/raw/Amiga-Assembler/05-if-else.asm	amiga_workspace/corpus/curated/Amiga-Assembler/05-if-else.asm	170	18	0aaa2a1398ea9880b8ca2a9f36c611e7d0ecb14f	1	0
6	amiga_workspace/corpus/raw/Amiga-Assembler/06-tri-state.asm	amiga_workspace/corpus/curated/Amiga-Assembler/06-tri-state.asm	190	20	0271fa961af57c85394da33215d9b373a1bf5179	1	0
7	amiga_workspace/corpus/raw/Amiga-Assembler/08-do-while-loop.asm	amiga_workspace/corpus/curated/Amiga-Assembler/08-do-while-loop.asm	110	12	1a06aa6830c61ab4184c57378fc135116cb27e6d	1	0
8	amiga_workspace/corpus/raw/Amiga-Assembler/09-bitshifting.asm	amiga_workspace/corpus/curated/Amiga-Assembler/09-bitshifting.asm	267	21	f88886ce8d56dbddf11c937da7c35f87c6f9e9ac	1	0
9	amiga_workspace/corpus/raw/Amiga-Assembler/10-memory.asm	amiga_workspace/corpus/curated/Amiga-Assembler/10-memory.asm	131	13	c8763ad16ae986210690fcd6dabc4a0a07d75d41	1	0
10	amiga_workspace/corpus/raw/Amiga-Assembler/11-memory-pointer.asm	amiga_workspace/corpus/curated/Amiga-Assembler/11-memory-pointer.asm	138	8	d5db4474e3eaf86ae4013dff1ee75982677c6483	1	0
11	amiga_workspace/corpus/raw/Amiga-Assembler/12-copy-memory.asm	amiga_workspace/corpus/curated/Amiga-Assembler/12-copy-memory.asm	190	14	abe2ca5c992ad6cd038f9e6a698d6f4cb71e614c	1	0
12	amiga_workspace/corpus/raw/Amiga-Assembler/13-copy-block-of-memory.asm	amiga_workspace/corpus/curated/Amiga-Assembler/13-copy-block-of-memory.asm	314	24	523cdc1fa5cf73895c5e4e50db2328324f7d067c	1	0
