source_rel	curated_rel	reason	has_entry	assemble_rc
amiga_workspace/corpus/raw/Amiga-Assembler/07-for-loop.asm	amiga_workspace/corpus/curated/Amiga-Assembler/07-for-loop.asm	assemble_fail	1	1
amiga_workspace/corpus/raw/Amiga-Assembler/14-load-dos-library.asm	amiga_workspace/corpus/curated/Amiga-Assembler/14-load-dos-library.asm	assemble_fail	1	1
amiga_workspace/corpus/raw/Amiga-Assembler/15-load-file-contents-into-memory.asm	amiga_workspace/corpus/curated/Amiga-Assembler/15-load-file-contents-into-memory.asm	assemble_fail	1	1
amiga_workspace/corpus/raw/Amiga-Assembler/Include/devices/audio.i	amiga_workspace/corpus/curated/Amiga-Assembler/Include/devices/audio.i	not_runnable_ext	0	
amiga_workspace/corpus/raw/Amiga-Assembler/Include/devices/bootblock.i	amiga_workspace/corpus/curated/Amiga-Assembler/Include/devices/bootblock.i	not_runnable_ext	0	
amiga_workspace/corpus/raw/Amiga-Assembler/Include/devices/clipboard.i	amiga_workspace/corpus/curated/Amiga-Assembler/Include/devices/clipboard.i	not_runnable_ext	0	
amiga_workspace/corpus/raw/Amiga-Assembler/Include/devices/console.i	amiga_workspace/corpus/curated/Amiga-Assembler/Include/devices/console.i	not_runnable_ext	0	
amiga_workspace/corpus/raw/Amiga-Assembler/Include/devices/console_lib.i	amiga_workspace/corpus/curated/Amiga-Assembler/Include/devices/console_lib.i	not_runnable_ext	0	
amiga_workspace/corpus/raw/Amiga-Assembler/Include/devices/conunit.i	amiga_workspace/corpus/curated/Amiga-Assembler/Include/devices/conunit.i	not_runnable_ext	0	
amiga_workspace/corpus/raw/Amiga-Assembler/Include/devices/gameport.i	amiga_workspace/corpus/curated/Amiga-Assembler/Include/devices/gameport.i	not_runnable_ext	0	
amiga_workspace/corpus/raw/Amiga-Assembler/Include/devices/hardblocks.i	amiga_workspace/corpus/curated/Amiga-Assembler/Include/devices/hardblocks.i	not_runnable_ext	0	
amiga_workspace/corpus/raw/Amiga-Assembler/Include/devices/inputevent.i	amiga_workspace/corpus/curated/Amiga-Assembler/Include/devices/inputevent.i	not_runnable_ext	0	
amiga_workspace/corpus/raw/Amiga-Assembler/Include/devices/keymap.i	amiga_workspace/corpus/curated/Amiga-Assembler/Include/devices/keymap.i	not_runnable_ext	0	
amiga_workspace/corpus/raw/Amiga-Assembler/Include/devices/narrator.i	amiga_workspace/corpus/curated/Amiga-Assembler/Include/devices/narrator.i	not_runnable_ext	0	
amiga_workspace/corpus/raw/Amiga-Assembler/Include/devices/parallel.i	amiga_workspace/corpus/curated/Amiga-Assembler/Include/devices/parallel.i	not_runnable_ext	0	
amiga_workspace/corpus/raw/Amiga-Assembler/Include/devices/printer.i	amiga_workspace/corpus/curated/Amiga-Assembler/Include/devices/printer.i	not_runnable_ext	0	
amiga_workspace/corpus/raw/Amiga-Assembler/Include/devices/prtbase.i	amiga_workspace/corpus/curated/Amiga-Assembler/Include/devices/prtbase.i	not_runnable_ext	0	
amiga_workspace/corpus/raw/Amiga-Assembler/Include/devices/prtgfx.i	amiga_workspace/corpus/curated/Amiga-Assembler/Include/devices/prtgfx.i	not_runnable_ext	0	
amiga_workspace/corpus/raw/Amiga-Assembler/Include/devices/scsidisk.i	amiga_workspace/corpus/curated/Amiga-Assembler/Include/devices/scsidisk.i	not_runnable_ext	0	
amiga_workspace/corpus/raw/Amiga-Assembler/Include/devices/serial.i	amiga_workspace/corpus/curated/Amiga-Assembler/Include/devices/serial.i	not_runnable_ext	0	
amiga_workspace/corpus/raw/Amiga-Assembler/Include/devices/timer.i	amiga_workspace/corpus/curated/Amiga-Assembler/Include/devices/timer.i	not_runnable_ext	0	
amiga_workspace/corpus/raw/Amiga-Assembler/Include/devices/timer_lib.i	amiga_workspace/corpus/curated/Amiga-Assembler/Include/devices/timer_lib.i	not_runnable_ext	0	
amiga_workspace/corpus/raw/Amiga-Assembler/Include/devices/trackdisk.i	amiga_workspace/corpus/curated/Amiga-Assembler/Include/devices/trackdisk.i	not_runnable_ext	0	
amiga_workspace/corpus/raw/Amiga-Assembler/Include/exec/ables.i	amiga_workspace/corpus/curated/Amiga-Assembler/Include/exec/ables.i	not_runnable_ext	0	
amiga_workspace/corpus/raw/Amiga-Assembler/Include/exec/alerts.i	amiga_workspace/corpus/curated/Amiga-Assembler/Include/exec/alerts.i	not_runnable_ext	0	
amiga_workspace/corpus/raw/Amiga-Assembler/Include/exec/errors.i	amiga_workspace/corpus/curated/Amiga-Assembler/Include/exec/errors.i	not_runnable_ext	0	
amiga_workspace/corpus/raw/Amiga-Assembler/Include/exec/exec_lib.i	amiga_workspace/corpus/curated/Amiga-Assembler/Include/exec/exec_lib.i	not_runnable_ext	0	
amiga_workspace/corpus/raw/Amiga-Assembler/Include/exec/execname.i	amiga_workspace/corpus/curated/Amiga-Assembler/Include/exec/execname.i	not_runnable_ext	0	
amiga_workspace/corpus/raw/Amiga-Assembler/Include/exec/initializers.i	amiga_workspace/corpus/curated/Amiga-Assembler/Include/exec/initializers.i	not_runnable_ext	0	
amiga_workspace/corpus/raw/Amiga-Assembler/Include/exec/interrupts.i	amiga_workspace/corpus/curated/Amiga-Assembler/Include/exec/interrupts.i	not_runnable_ext	0	
