commit	score	status	description
314376a	1.000000	keep	keep run 2026-03-13T01-50-15-587Z-1 mode=copper_reference source=amiga_workspace/benchmarks/copper_bars/disk/copper_bars.adf rom=Kickstart v1.3 r34.005 (1987-12)(Commodore)(A500-A1000-A2000-CDTV).rom
314376a	1.000000	keep	keep run 2026-03-13T02-24-59-404Z-1 mode=sincos_scroller_reference source=amiga_workspace/benchmarks/sincos_scroller/reference/current.s rom=Kickstart v1.3 r34.005 (1987-12)(Commodore)(A500-A1000-A2000-CDTV).rom
314376a	1.000000	discard	discard run 2026-03-13T02-28-01-866Z-1 mode=sincos_scroller_reference source=amiga_workspace/benchmarks/sincos_scroller/reference/current.s rom=Kickstart v1.3 r34.005 (1987-12)(Commodore)(A500-A1000-A2000-CDTV).rom
314376a	0.963701	keep	keep run 2026-03-13T02-43-14-757Z-1 mode=sincos_scroller_control source=amiga_workspace/benchmarks/sincos_scroller/control/current.s rom=Kickstart v1.3 r34.005 (1987-12)(Commodore)(A500-A1000-A2000-CDTV).rom
314376a	1.000000	keep	keep run 2026-03-13T03-38-01-396Z-2 mode=playfield_marker source=amiga_workspace/benchmarks/copper_bars/asm_playfield_marker/current.s rom=Kickstart v1.3 r34.005 (1987-12)(Commodore)(A500-A1000-A2000-CDTV).rom
314376a	1.000000	discard	discard run 2026-03-13T03-38-17-799Z-3 mode=playfield_marker source=amiga_workspace/benchmarks/copper_bars/asm_playfield_marker/current.s rom=Kickstart v1.3 r34.005 (1987-12)(Commodore)(A500-A1000-A2000-CDTV).rom
314376a	1.000000	discard	discard run 2026-03-13T03-38-33-408Z-4 mode=playfield_marker source=amiga_workspace/benchmarks/copper_bars/asm_playfield_marker/current.s rom=Kickstart v1.3 r34.005 (1987-12)(Commodore)(A500-A1000-A2000-CDTV).rom
314376a	1.000000	discard	discard run 2026-03-13T03-38-49-213Z-5 mode=playfield_marker source=amiga_workspace/benchmarks/copper_bars/asm_playfield_marker/current.s rom=Kickstart v1.3 r34.005 (1987-12)(Commodore)(A500-A1000-A2000-CDTV).rom
314376a	1.000000	discard	discard run 2026-03-13T03-39-04-877Z-6 mode=playfield_marker source=amiga_workspace/benchmarks/copper_bars/asm_playfield_marker/current.s rom=Kickstart v1.3 r34.005 (1987-12)(Commodore)(A500-A1000-A2000-CDTV).rom
314376a	1.000000	discard	discard run 2026-03-13T03-39-21-014Z-7 mode=playfield_marker source=amiga_workspace/benchmarks/copper_bars/asm_playfield_marker/current.s rom=Kickstart v1.3 r34.005 (1987-12)(Commodore)(A500-A1000-A2000-CDTV).rom
314376a	1.000000	discard	discard run 2026-03-13T03-39-36-707Z-8 mode=playfield_marker source=amiga_workspace/benchmarks/copper_bars/asm_playfield_marker/current.s rom=Kickstart v1.3 r34.005 (1987-12)(Commodore)(A500-A1000-A2000-CDTV).rom
314376a	1.000000	discard	discard run 2026-03-13T03-39-52-542Z-9 mode=playfield_marker source=amiga_workspace/benchmarks/copper_bars/asm_playfield_marker/current.s rom=Kickstart v1.3 r34.005 (1987-12)(Commodore)(A500-A1000-A2000-CDTV).rom
