path	category	training_tier	status	notes
aMiLa/amiga_sources/ACE	libraries	3	imported	Amiga C Engine; useful as a game/framework reference.
aMiLa/amiga_sources/AGJ2024_BS2	games	2	uncurated	Game-jam style source; inspect before training.
aMiLa/amiga_sources/AMIner	applications	4	imported	Larger Amiga application/archive; sample selectively.
aMiLa/amiga_sources/Agony	games	4	uncurated	Game source/archive; inspect licensing and buildability.
aMiLa/amiga_sources/AmiDwnUnder	applications	4	uncurated	Application/archive with minimal visible metadata.
aMiLa/amiga_sources/Amiga	reference	3	imported	General Amiga reference/source collection.
aMiLa/amiga_sources/Amiga-Assembler	learning	1	curated	Small assembly lessons; high-value first-pass corpus.
aMiLa/amiga_sources/Amiga-Game-Selector	applications	2	imported	Focused selector utility; likely useful project corpus.
aMiLa/amiga_sources/Amiga-programming-examples	learning	1	curated	Programming examples; preferred training source.
aMiLa/amiga_sources/AmigaGPT	applications	2	imported	Modern Amiga app with Makefile; useful runnable project.
aMiLa/amiga_sources/AmigaOS.cpp.examples	c-examples	1	curated	C++ AmigaOS examples; useful API corpus.
aMiLa/amiga_sources/AmigaStarfield	asm-demos	2	imported	Compact visual demo; good effects corpus.
aMiLa/amiga_sources/Amiga_C_Tutorials	learning	1	curated	C tutorials; preferred training source.
aMiLa/amiga_sources/ArcadeGameSelector	applications	2	imported	Makefile-backed selector app.
aMiLa/amiga_sources/Arny's_Dreams	games	4	uncurated	Game/archive; inspect before ingestion.
aMiLa/amiga_sources/AtareniumFalcon	games	2	imported	Game source with multiple source files.
aMiLa/amiga_sources/Av	applications	4	uncurated	Application/archive; inspect before ingestion.
aMiLa/amiga_sources/Batman---Amiga	games	4	imported	Game source/recovery material; targeted use only.
aMiLa/amiga_sources/DISK	disk-assets	exclude	uncurated	Disk-image or extracted disk bucket; metadata-only unless manually cleared.
aMiLa/amiga_sources/FlappyAceWin	games	2	imported	Small game project; useful after tutorials.
aMiLa/amiga_sources/Global	reference	exclude	uncurated	Mixed/global assets or includes; inspect manually.
aMiLa/amiga_sources/Hamazing	games	2	imported	Small game/demo project.
aMiLa/amiga_sources/HelloAmi	learning	1	curated	Hello-world style Amiga project; preferred training source.
aMiLa/amiga_sources/JoyRide1	games	2	imported	Small game/demo project.
aMiLa/amiga_sources/Menace-Amiga-Format	games	4	imported	Game-source reference; targeted use only.
aMiLa/amiga_sources/MilkyTracker	applications	4	imported	Large tracker application; sample selectively.
aMiLa/amiga_sources/NoCpuChallenge	asm-demos	2	imported	Constrained demo/challenge source.
aMiLa/amiga_sources/PhantomFighter	games	3	imported	Game source with design/conversion docs.
aMiLa/amiga_sources/SDL	libraries	3	imported	Library/port material; sample headers/docs first.
aMiLa/amiga_sources/SpellSinger	games	4	uncurated	Game/archive; inspect before ingestion.
aMiLa/amiga_sources/UTIL	utility-buckets	exclude	uncurated	Broad utility bucket; inspect and select source files manually.
aMiLa/amiga_sources/VHScroll	asm-demos	1	curated	Compact assembly demo with build script; strong corpus candidate.
aMiLa/amiga_sources/ab3dtrainer	tools	3	imported	Trainer utility; sample selectively.
aMiLa/amiga_sources/abackup	applications	3	imported	Backup application; moderate reference value.
aMiLa/amiga_sources/abacus	applications	3	imported	Application archive; moderate reference value.
aMiLa/amiga_sources/addicts	asm-demos	3	uncurated	Demo/intro style material; inspect before ingestion.
aMiLa/amiga_sources/aduintro1	asm-demos	2	uncurated	Intro/effect source; useful after curation.
aMiLa/amiga_sources/aduintro2	asm-demos	2	uncurated	Intro/effect source; useful after curation.
aMiLa/amiga_sources/aduintro3	asm-demos	2	uncurated	Intro/effect source; useful after curation.
aMiLa/amiga_sources/aegisanimator	applications	4	imported	Larger application/archive; targeted use only.
aMiLa/amiga_sources/ambermoon	games	4	imported	Large game archive; targeted use only.
aMiLa/amiga_sources/amiftp	applications	4	imported	FTP client application; sample selectively.
aMiLa/amiga_sources/amiga-c	learning	1	curated	C examples; preferred training source.
aMiLa/amiga_sources/amiga-dev	learning	1	curated	Development notes/examples; preferred training source.
aMiLa/amiga_sources/amiga-parcade	games	2	imported	Game/project corpus.
aMiLa/amiga_sources/amiga-playground	learning	1	curated	Playground examples; preferred training source.
aMiLa/amiga_sources/amiga-stuff	reference	3	imported	Mixed source/reference material.
aMiLa/amiga_sources/amiga_asmdev_workflow	learning	1	curated	Assembly workflow example with Makefile.
aMiLa/amiga_sources/amiga_examples	learning	1	curated	Examples with Makefile; preferred corpus.
aMiLa/amiga_sources/amiga_game_prog	learning	1	curated	Game programming lessons/examples.
aMiLa/amiga_sources/amiga_hardware_in_c	learning	1	curated	Hardware programming in C; preferred corpus.
aMiLa/amiga_sources/amiga_sources	reference	3	uncurated	Broad source dump; sample carefully.
aMiLa/amiga_sources/amigaexamples	learning	1	curated	Example collection; preferred corpus.
aMiLa/amiga_sources/analay	applications	3	imported	Application/archive; moderate reference value.
aMiLa/amiga_sources/anthrox	asm-demos	3	uncurated	Demo/intro source; inspect before ingestion.
aMiLa/amiga_sources/artpro	applications	4	imported	Larger application/archive; targeted use only.
aMiLa/amiga_sources/assemble-amiga	toolchains	3	imported	Assembler source; valuable for toolchain tasks.
