current_path	proposed_path	category	move_priority	notes
aMiLa/amiga_sources/ACE	aMiLa/amiga_sources/libraries/ACE	libraries	later	Preserve upstream layout until build/use is checked.
aMiLa/amiga_sources/AGJ2024_BS2	aMiLa/amiga_sources/games/AGJ2024_BS2	games	later	Inspect first.
aMiLa/amiga_sources/AMIner	aMiLa/amiga_sources/applications/AMIner	applications	later	Larger app/archive.
aMiLa/amiga_sources/Agony	aMiLa/amiga_sources/games/Agony	games	later	Inspect first.
aMiLa/amiga_sources/AmiDwnUnder	aMiLa/amiga_sources/applications/AmiDwnUnder	applications	later	Inspect first.
aMiLa/amiga_sources/Amiga	aMiLa/amiga_sources/reference/Amiga	reference	later	General source/reference collection.
aMiLa/amiga_sources/Amiga-Assembler	aMiLa/amiga_sources/learning/Amiga-Assembler	learning	first	High-value tutorial corpus.
aMiLa/amiga_sources/Amiga-Game-Selector	aMiLa/amiga_sources/applications/Amiga-Game-Selector	applications	later	Focused app.
aMiLa/amiga_sources/Amiga-programming-examples	aMiLa/amiga_sources/learning/Amiga-programming-examples	learning	first	High-value examples.
aMiLa/amiga_sources/AmigaGPT	aMiLa/amiga_sources/applications/AmigaGPT	applications	later	Modern Amiga app.
aMiLa/amiga_sources/AmigaOS.cpp.examples	aMiLa/amiga_sources/examples/cpp/AmigaOS.cpp.examples	c-examples	first	C++ examples.
aMiLa/amiga_sources/AmigaStarfield	aMiLa/amiga_sources/demos/asm-effects/AmigaStarfield	asm-demos	first	Compact demo.
aMiLa/amiga_sources/Amiga_C_Tutorials	aMiLa/amiga_sources/learning/Amiga_C_Tutorials	learning	first	High-value tutorials.
aMiLa/amiga_sources/ArcadeGameSelector	aMiLa/amiga_sources/applications/ArcadeGameSelector	applications	later	Focused app.
aMiLa/amiga_sources/Arny's_Dreams	aMiLa/amiga_sources/games/Arny's_Dreams	games	later	Inspect first.
aMiLa/amiga_sources/AtareniumFalcon	aMiLa/amiga_sources/games/AtareniumFalcon	games	later	Game project.
aMiLa/amiga_sources/Av	aMiLa/amiga_sources/applications/Av	applications	later	Inspect first.
aMiLa/amiga_sources/Batman---Amiga	aMiLa/amiga_sources/games/Batman---Amiga	games	later	Game archive.
aMiLa/amiga_sources/DISK	aMiLa/amiga_sources/disk-assets/DISK	disk-assets	later	Keep out of source-training corpus by default.
aMiLa/amiga_sources/FlappyAceWin	aMiLa/amiga_sources/games/FlappyAceWin	games	later	Small game project.
aMiLa/amiga_sources/Global	aMiLa/amiga_sources/uncurated/Global	uncurated	later	Mixed/global assets.
aMiLa/amiga_sources/Hamazing	aMiLa/amiga_sources/games/Hamazing	games	later	Small game project.
aMiLa/amiga_sources/HelloAmi	aMiLa/amiga_sources/learning/HelloAmi	learning	first	Hello-world style project.
aMiLa/amiga_sources/JoyRide1	aMiLa/amiga_sources/games/JoyRide1	games	later	Small game project.
aMiLa/amiga_sources/Menace-Amiga-Format	aMiLa/amiga_sources/games/Menace-Amiga-Format	games	later	Game archive.
aMiLa/amiga_sources/MilkyTracker	aMiLa/amiga_sources/applications/MilkyTracker	applications	later	Large app/port.
aMiLa/amiga_sources/NoCpuChallenge	aMiLa/amiga_sources/demos/asm-effects/NoCpuChallenge	asm-demos	later	Challenge/demo source.
aMiLa/amiga_sources/PhantomFighter	aMiLa/amiga_sources/games/PhantomFighter	games	later	Game source/docs.
aMiLa/amiga_sources/SDL	aMiLa/amiga_sources/libraries/SDL	libraries	later	Library/port.
aMiLa/amiga_sources/SpellSinger	aMiLa/amiga_sources/games/SpellSinger	games	later	Inspect first.
aMiLa/amiga_sources/UTIL	aMiLa/amiga_sources/utility-buckets/UTIL	utility-buckets	later	Inspect and split manually before training.
