source	destination	status
Action Cartridge Super IV Pro v4.3 (1992)(GameWorks).zip	cartridges/action-cartridge-super-iv-pro/v4-3/standard/action-cartridge-super-iv-pro-v4-3-1992-gameworks.rom	moved
Action Replay 1200 (199x)(Datel Electronics).zip	cartridges/action-replay/a1200/unknown-version/standard/action-replay-1200-199x-datel-electronics.rom	moved
Action Replay Mk I v1.0 (1989)(Datel Electronics).zip	cartridges/action-replay/mk-i/v1-0/standard/action-replay-mk-i-v1-0-1989-datel-electronics.rom	moved
Action Replay Mk I v1.5 (1989)(Datel Electronics).zip	cartridges/action-replay/mk-i/v1-5/standard/action-replay-mk-i-v1-5-1989-datel-electronics.rom	moved
Action Replay Mk II v2.05 (1990)(Datel Electronics)[m].zip	cartridges/action-replay/mk-ii/v2-05/modified/action-replay-mk-ii-v2-05-1990-datel-electronics-m.rom	moved
Action Replay Mk II v2.12 (1990)(Datel Electronics)[m].zip	cartridges/action-replay/mk-ii/v2-12/modified/action-replay-mk-ii-v2-12-1990-datel-electronics-m.rom	moved
Action Replay Mk II v2.14 (1991)(Datel Electronics)[m].zip	cartridges/action-replay/mk-ii/v2-14/modified/action-replay-mk-ii-v2-14-1991-datel-electronics-m.rom	moved
Action Replay Mk III v3.09 (1991)(Datel Electronics)[m].zip	cartridges/action-replay/mk-iii/v3-09/modified/action-replay-mk-iii-v3-09-1991-datel-electronics-m.rom	moved
Action Replay Mk III v3.17 (1991)(Datel Electronics)[m].zip	cartridges/action-replay/mk-iii/v3-17/modified/action-replay-mk-iii-v3-17-1991-datel-electronics-m.rom	moved
Amiga 1000 ROM Bootstrap (1985)(Commodore)(A1000)[!].zip	bootstrap/a1000/good/amiga-1000-rom-bootstrap-1985-commodore-a1000-good.rom	moved
Amiga 1000 ROM Bootstrap (1985)(Commodore)(A1000)[u].zip	bootstrap/a1000/unknown/amiga-1000-rom-bootstrap-1985-commodore-a1000-u.rom	moved
Amiga 3000 Boot-ROM v1.4 r36.16 (1990)(Commodore)(A3000)[!][ROM0].zip	boot-rom/a3000/v1-4-r36-16/good/amiga-3000-boot-rom-v1-4-r36-16-1990-commodore-a3000-good-rom0.rom	moved
Amiga 3000 Boot-ROM v1.4 r36.16 (1990)(Commodore)(A3000)[!][ROM1].zip	boot-rom/a3000/v1-4-r36-16/good/amiga-3000-boot-rom-v1-4-r36-16-1990-commodore-a3000-good-rom1.rom	moved
CD32 Extended-ROM r40.60 (1993)(Commodore)(CD32).zip	extended-rom/cd32/r40-60/standard/cd32-extended-rom-r40-60-1993-commodore-cd32.rom	moved
CDTV Extended-ROM v1.0 (1991)(Commodore)(CDTV)(beta).zip	extended-rom/cdtv/v1-0/beta/cdtv-extended-rom-v1-0-1991-commodore-cdtv-beta.rom	moved
CDTV Extended-ROM v1.0 (1991)(Commodore)(CDTV)[!].zip	extended-rom/cdtv/v1-0/good/cdtv-extended-rom-v1-0-1991-commodore-cdtv-good.rom	moved
CDTV Extended-ROM v1.0 (1991)(Commodore)(CDTV)[!][U34].zip	extended-rom/cdtv/v1-0/good/cdtv-extended-rom-v1-0-1991-commodore-cdtv-good-u34.rom	moved
CDTV Extended-ROM v1.0 (1991)(Commodore)(CDTV)[!][U35].zip	extended-rom/cdtv/v1-0/good/cdtv-extended-rom-v1-0-1991-commodore-cdtv-good-u35.rom	moved
CDTV Extended-ROM v1.0 (1991)(Commodore)(CDTV)[encrypted, needs rom.key].zip	extended-rom/cdtv/v1-0/encrypted-needs-rom-key/cdtv-extended-rom-v1-0-1991-commodore-cdtv-encrypted-needs-rom-key.rom	moved
CDTV Extended-ROM v2.30 (1992)(Commodore)(A570).zip	extended-rom/a570/v2-30/standard/cdtv-extended-rom-v2-30-1992-commodore-a570.rom	moved
CDTV Extended-ROM v2.30 (1992)(Commodore)(CDTV)[U34].zip	extended-rom/cdtv/v2-30/standard/cdtv-extended-rom-v2-30-1992-commodore-cdtv-u34.rom	moved
CDTV Extended-ROM v2.30 (1992)(Commodore)(CDTV)[U35].zip	extended-rom/cdtv/v2-30/standard/cdtv-extended-rom-v2-30-1992-commodore-cdtv-u35.rom	moved
CDTV Extended-ROM v2.7 (1992)(Commodore)(CDTV).zip	extended-rom/cdtv/v2-7/standard/cdtv-extended-rom-v2-7-1992-commodore-cdtv.rom	moved
Kickstart v0.7 r27.003 (1985-07)(Commodore)(A1000)(NTSC)(beta).zip	kickstart/v0-7-r27-003/a1000/ntsc-beta/kickstart-v0-7-r27-003-1985-07-commodore-a1000-ntsc-beta.rom	moved
Kickstart v1.0 r30 (1985-09)(Commodore)(A1000)(NTSC)[!].zip	kickstart/v1-0-r30/a1000/ntsc-good/kickstart-v1-0-r30-1985-09-commodore-a1000-ntsc-good.rom	moved
Kickstart v1.1 r31.034 (1985-11)(Commodore)(A1000)(NTSC)[!].zip	kickstart/v1-1-r31-034/a1000/ntsc-good/kickstart-v1-1-r31-034-1985-11-commodore-a1000-ntsc-good.rom	moved
Kickstart v1.1 r31.034 (1985-11)(Commodore)(A1000)(NTSC)[o].zip	kickstart/v1-1-r31-034/a1000/ntsc-overdump/kickstart-v1-1-r31-034-1985-11-commodore-a1000-ntsc-o.rom	moved
Kickstart v1.1 r32.034 (1986-02)(Commodore)(A1000)(PAL)[!].zip	kickstart/v1-1-r32-034/a1000/pal-good/kickstart-v1-1-r32-034-1986-02-commodore-a1000-pal-good.rom	moved
Kickstart v1.1 r32.034 (1986-02)(Commodore)(A1000)(PAL)[o].zip	kickstart/v1-1-r32-034/a1000/pal-overdump/kickstart-v1-1-r32-034-1986-02-commodore-a1000-pal-o.rom	moved
Kickstart v1.1 r32.034 (1986-02)(Commodore)(A1000)(PAL)[o][encrypted, needs rom.key].zip	kickstart/v1-1-r32-034/a1000/pal-overdump-encrypted-needs-rom-key/kickstart-v1-1-r32-034-1986-02-commodore-a1000-pal-o-encrypted-needs-rom-key.rom	moved
Kickstart v1.2 r33.166 (1986-09)(Commodore)(A1000)[!].zip	kickstart/v1-2-r33-166/a1000/good/kickstart-v1-2-r33-166-1986-09-commodore-a1000-good.rom	moved
